text,frame_idx
,0
,480.0
,960.0
,1440.0
"ISU SHORT TRACK
', ANORLD TOUR

Mokdong Ice Rink Seoul (KOR)

SATURDAY 14 DECEMBER 2024
",1920.0
"i e& Vs Vesa: BV earlier a

: w? ISU SHORT TRACK
Seis ') INORLD TOUR

",2400.0
",

w? ISU SHORT TRACK
', NORLD TOUR

Mokdong Ice Rink Seoul (KOR)

SATURDAY 14 DECEMBER 2024
",2880.0
"ISU SHORT TRACK WORLD TOUR
SESSION SCHEDULE - SATURDAY 14 DECEMBER 2024 SEOUL (KOR)

Mi 1500 M SEMIFINALS

NOMEN 1 ooom QUARTERFINALS
MEN 1500 M FINAL B : ;
MEN 1500 M FINALA

INOMEN 1000 M SEMIFINALS

MEN 500 M QUARTERFINALS

INOMEN 1000 M FINAL B

INOMEN 1000 M FINALA

I SKATING.COM
",3360.0
"a

= =
@-> _ IsUSHORT TRACK WORLD TOUR
SF | SESSION SCHEDULE - SATURDAY 14 DECEMBER 2024 SEOUL (KOR)

",3840.0
"ei a lttiew =

Te
@-> _ IsUSHORT TRACK WORLD TOUR
SF | SESSION SCHEDULE - SATURDAY 14 DECEMBER 2024 SEOUL (KOR)

INOMEN 3000 M RELAY SEMIFINALS
MEN 500 M FINALB ; —_
‘MEN 500 M FINALA

INOMEN 3000 M RELAY FINAL B

INOMEN 3000 M RELAY FINALA

",4320.0
"\

SEOUL (KOR)

ISU REPRESENTATIVE
ISU TC REPRESENTATIVE
GF ISU EVENT DIRECTOR HUGO HERRNHOF
—"" ISU EVENT MANAGEMENT ASSIST, ESZTER BoRSsODI

Nee Se ANTONIO FRIOLA

",4800.0
"EVENT OFFICIALS SEOUL (KOR)

ISU REPRESENTATIVE
ISU TC REPRESENTATIVE NA ALIE LAMBERT

DA Segoe ISU EVENT DIRECTOR HUGO HERRNHOF
SS Sea? ESZTER BORSsoDI
nm eietee) ANTONIO FRIOLA

",5280.0
"‘SEOUL (KOR)

REFEREE

FIRST ASSISTANT REFEREE

& cnet E ASSISTANT REFEREE PARK HYE NON

> w ASSISTANT REFEREE VIDEO SARAH HENDERSON
SSISTAN] MAXIMILIAN MARKGRAF

ANTAL NOVAK
STARTER SANG-CHUL KIM
COMPETITORS' STEWARD BAOHAI SHAN

COMPETITORS' STEWARD BOK HEE KINON

",5760.0
"ee AN inti ws: > —

",6240.0
,6720.0
,7200.0
,7680.0
,8160.0
,8640.0
,9120.0
,9600.0
,10080.0
,10560.0
,11040.0
,11520.0
"wn os F0 Carne

",12000.0
"& yaa . zi
p* rr

",12480.0
,12960.0
"2 ee . Rec

| een é

we as pteiel,

Sa Cees, 1
",13440.0
,13920.0
"1

Oh Ws Ay Santas.

",14400.0
"27h v

ISU SHORT TRACK WORLD TOUR
",14880.0
"Of

am u

",15360.0
"CEN Wtiesgy OVie Vnvie gs =

ISU SHORT TRACK INORLD TOUR
MEN 1500 M - START LIST - SEMIFINALS - HEAT 1 SEOUL (KOR)
DRAN Kos
7 “PIETRO SIGHEL
LiU GUANYI
FRISO EMONS
MICHAL NIEININSKI
LEE JUNG SU

ISU-SKATING.COM

",15840.0
,16320.0
,16800.0
,17280.0
,17760.0
,18240.0
,18720.0
"“Ai

pekBasie = >keaees [|

\

",19200.0
,19680.0
,20160.0
,20640.0
,21120.0
,21600.0
,22080.0
"= .kos
5. DUBOIS
P. SIGHEL
uuG.
‘: LEES.
= FEMONS
‘M. NIEWINSKI

SPEED 27.9 km/h
ay

",22560.0
"ET] = p.kos
TE] me M. NIEWINSKI
EW t-1 s. ousois

EJ = F. emons
MEN 1500M
SFI 22.26

12LAPSTOGO

13.11
12.30
13,08
13.07,
13.06
13.02
12.92

\

",23040.0
"DFE] me M. NIEWINSKI

OU ap sicher
1560 Mrs

Uy = F. EMONS

MEN 1500M

SFl 31.2
=,

",23520.0
"‘M. NIEWINSKI
n UG.
=] = v.kos
S. DUBOIS
AP. SIGHEL
E) Lees.
= FEMONS

SPEED 37.0 km/h

10.75
10.45
10.85
10.94
10.92
10.77
10.87

",24000.0
"= kos
UG.
S. DUBOIS
‘M. NIEWINSKI

‘A P.SIGHEL

= FEMONS

) LEEJS.

Psr1 vad

10.39
10.20
10.47
10.26
10.12
10.25

W

",24480.0
"UJ = F Emons

OF] me M. NIEWINSKI
MEN 1500M

SFl 53.42
SLAPSTOGO

",24960.0
,25440.0
"OEY aw p sicher

EW i-8 s.ousois

156f_ 30Ts
UF) mem M. NIEWINSKI

MEN 1500M
SFI 111.2

",25920.0
"UR & © P.SIGHEL
UL] = Ff EMONS

Ey ie s. busois
[EL] Ml Liu G.

LF] me M. NIEWINSKI
MEN 1500M
SFI

8.97
9.29
9.21
9.21
9.26
9.24
9.27

",26400.0
"BHP SIGHEL
|= F. Mons
ET] = . kos

‘S. DUBOIS
f wus.
M. NIEWINSKI
LEIS,

SPEED 43.2km/h

9.16
9.33
9.32
9.23
9.22
9.21
14.08

",26880.0
,27360.0
"S. DUBOIS

‘M. NIEWINSKI
D.KOS

P. SIGHEL

F EMONS
uUG.

te LEE JS,

SFl 1:39.98
4LAPSTOGO a

Buell

8.99
9.10
9.45
9.51
9.23
9.24
+2 LAPS

-

*

",27840.0
"EW) tt s. ousois 9.27

TEJm M.NIEWINSK| 8.94
ET] = o.kos 8.96
SBP SIGHEL 17.88
=F EMONS. “2 LAPS

mm wus. +2 LAPS.
* LEELS.

MEN 1500M

SFl 1:49.25
SLAPSTOGO

VIDEO REVIEW

",28320.0
"MTs, DuBois
‘== M. NIEWINSKI

= D.Kos

(9) wm p.sicet
(9) = Femons
9 a wc.
(Om ues.

MEN 1500M
SFl 1:58.28

2LAPSToOGO

9.03
9.07
9.07
+2 LAPS
+2 LAPS
+2 LAPS
+3 LAPS

",28800.0
"EW t+ s. ousois
LL} me M. NIEWI!
ET] = p.kos
DM P.SIGHEL
9) = fF emons

we we.
Ow cess.

MEN 1500
SFI

REVIEW

INSKI

Mw
2:07.2

9.03

9.07

9.07
+2 LAPS
+2 LAPS
+2 LAPS
+2 LAPS.

",29280.0
"EW tt s. ousois
BF] me M. NIEWINSK!
ET} = p.kos
MP. SIGHEL
(9) = Femons
mus.

te) LEEJ.S.

MEN 1500M
SFI 2:15.2

VIDEO REVIEW

8.91

8.87
+2 LAPS
42 LAPS
+2 LAPS
43 LAPS

",29760.0
"'M. NIEWINSKI PHOTO
= .kos PHOTO
> COE 39 Laps
= F EMONS +3 APS
wos +3 LAPS
* LEELS. *3,LAPS

Psr1 2:16.27) i

weaeE=—

",30240.0
"a)

—Isu—
SHORT TRACK

INORLD TOUR
",30720.0
,31200.0
"VIDEO REVIEW

",31680.0
,32160.0
,32640.0
,33120.0
,33600.0
,34080.0
"Toad
b

wi

rE

",34560.0
"OFFICIAL VIDEO REVIEIN

-1SU- ""i
SHORT TRACK : 0, Bb) ies
",35040.0
"—Isu—
SHORT TRACK

INORLD TOUR
",35520.0
,36000.0
"r

",36480.0
,36960.0
"e

—1su—
SHORT TRACK

INORLD TOUR
",37440.0
"HSHORTTRACKWORLOTOUR ISU-Sf

aaa G59)

— |

G@LVIDED REVIEW ©@

",37920.0
,38400.0
,38880.0
,39360.0
"Tt

~1SU

SHORT TRACK

WORLO TOUR

",39840.0
,40320.0
,40800.0
,41280.0
,41760.0
,42240.0
,42720.0
,43200.0
,43680.0
"SEOUL (KOR)

",44160.0
"Vivi we -” =

ISU SHORT TRACK INORLD TOUR

\ MEN 1500 M - RESULT - SEMIFINALS - HEAT 1 SEOUL (KOR) -
STEVEN DUBOIS Pty 2:16.188
MICHAL NIEWINSKI : on
DRAANKOS
FRISO EMONS
PIETRO SIGHEL
LEEJUNGSU

Liu GUANYI
Fs

",44640.0
"a)

—Isu—
SHORT TRACK

INORLD TOUR
",45120.0
"156 MMNCHN
PENALTY - END OF STRAIGHT - ILLEGAL LATE PASS

",45600.0
",

eG Us ee ay: Ile ul

",46080.0
"\

BV Minnie ys =

=
ISU SHORT TRACK INORLD TOUR
MEN 1500 M - START LIST - SEMIFINALS - HEAT 2 SEOUL (KOR)

JANG SUNGIWOO

THOMAS NADALINI

"" GLEBIVCHENKO
STIJN DESMET
JENS VAN'T QUT

CLAYTON DE CLEMENTE

ISU-SKATING.COM

FELIX ROUSSEL
",46560.0
,47040.0
,47520.0
,48000.0
,48480.0
"op Eth Me )) > KBSH

",48960.0
"ay

",49440.0
"4
= = J. VAN TWOUT
(SC. DECLEMENTE
’ | JANG S.
F. ROUSSEL
7 4] 88 T. NADALINI

(Il G.IVCHENKO. I

J mm s. DESMET Ae ii .
= . ~

SPEED 29.5km/h |

",49920.0
"|, VAN 'T WOUT
. DE CLEMENTE
JANG S.
T.NADALINI

@] a G.IVCHENKO

=] #8 s. DESMET

12LAPSTOGO

Ls ——
. —

—

12,22
12,24
12,35
12,36 .
12.44
12.43

",50400.0
"Wy S.DESMET
MeN 1500
SF2 31.5

",50880.0
"F ROUSSEL
| = J. VAN TwouT
5 C. DECLEMENTE
© JANG S.
2] 88 T. NADALINI
S. DESMET
IG. IVCHENKO

Psr2 295]

175
11.67
11.60
11,50
11.57
11.38
11.55

",51360.0
"ET] = c. DE CLEMENTE

DE} = J. van Twour

50
6
af
“op

SFe

SPEED

F ROUSSEL
JANG 5.
S. DESMET

T. NADALINI
CJ] i G. IVCHENKO

MEN 1500M

39.

47.5

10.64
10.98
10.85
10.59
10.88
10.82
",51840.0
"C7] = C. DE CLEMENTE
DE) = J. van tTwour

EM) tt rouse
6 JANG S.
LJ) 8 s. DESMET

CT] & © T. NADALINI
CT] lit G. IVCHENKO

MEN 1500M
SF2 54.24
SLAPSTOGO

10.65
10.77
10.70
10,62
10.63
10.59
10.61

",52320.0
"IP >

ET] = c. DE CLEMENTE
DE) = J. van 'twour
F. ROUSSEL

JANG S.

(Ts) la G. IVCHENKO
MEN 1500M
SF2 1:03.6

10.65
10.77
10.70
10.62
10.63
10.59
10.61

",52800.0
"CM = Janes.
LJ M8 s. DESMET

E7-] = C. DE CLEMENTE
DE} = J. van twour
EM aw Rousse.
CT-] © 1. NADALINI

CJ: a G. IVCHENKO

MEN 1500M
SF2 1:11.6

10.08
10.05

10.61
~ 10,60
10.62
10.49
10.47

",53280.0
"© JANGS.
J ms. DesMeT
SC. DE CLEMENTE
|= 4, van Twour
IF ROUSSEL
J aT. NADAUINI
ET] lat G. IVCHENKO

SPEED 41.5km/h

970
9.65
9.65
9.47
9.55
9.49
9.50

",53760.0
"INNS. DESMET
] JANG s.
F ROUSSEL
] = J. AN TWwour
f= C. DECLEMENTE
ILM T.NADALINI
IG. IVCHENKO

Psre i276)

9.32
9.38
9.09
9.43,
9.54
9.30
9.27

",54240.0
"F ROUSSEL 9.05

] mm s. DesmeT 9.20
EY = J. van Twour 9.15 eee
JANG 5. 9.40
= C. DECLEMENTE 9.27
JT. NADALINI 9.31

(Il G.IVCHENKO.

| SLAPSTOGO

",54720.0
"9.28

9.23
Al a“

9.16

9.31

9.08
CT] ma G. IVCHENKO 9.16
MEN 1500M

SF2 1:42.14

4YLAPSTOGO

",55200.0
